CptSashimi,RT @jennydeluxe: Feel like I heard more grumblings about the Netflix price hike than this >>> Bank$ Adding Debit Card Fee$: http://t.co/Tg2IZiKu,Sat Oct 01 10:27:46 CDT 2011
nytimes,@Certain_Someone You need to post your question here: nyti.ms/n8AW64,Sat Oct 01 10:28:21 CDT 2011
GoTweetHistory,RT @PublishersWkly The money may be lacking  but a R.I. library refuses to go quietly nyti.ms/o4dQVx,Sat Oct 01 10:28:59 CDT 2011
johnleesandiego,RT @mpoppel: RT @brianstelter: #OccupyWallStreet makes the NYT front page for the 1st time: nyti.ms/pZp2uZ #globalrevolution,Sat Oct 01 10:30:02 CDT 2011
Zag667,nytimes says @Certain_Someone You need to post your question here: nyti.ms/n8AW64,Sat Oct 01 10:32:38 CDT 2011
flxprrss,nytimes: @Certain_Someone You need to post your question here: nyti.ms/n8AW64 http://t.co/z6ng9PZ8,Sat Oct 01 10:33:05 CDT 2011
regibaby67,RT @AlecBaldwin: RT @jonoatis: NYTimes: Reporter Threatens to Name Names in Phone Hacking Scandal nyti.ms/otPGlz,Sat Oct 01 10:33:40 CDT 2011
pipsqueakers4u,Are Barefoot Shoes Really Better?- http://t.co/1msECiVg,Sat Oct 01 10:35:29 CDT 2011
big_newz,RT @nytimes: @Certain_Someone You need to post your question here: nyti.ms/n8AW64,Sat Oct 01 10:44:03 CDT 2011
RoseWeaver12,Outsize Severance Continues for Executives  Even After Failed Tenures: http://t.co/Gv5nXcTK Do you get severances like this?,Sat Oct 01 10:46:14 CDT 2011
lorettelavine,Stuck in Bed for 19 Months  at Hospital’s Expense: http://t.co/QybMD0cZ Healthcare 101- start funding services instead of hospital stays,Sat Oct 01 10:59:55 CDT 2011
neskafeconleche,RT @nytimes : @Certain_Someone You need to post your question here: nyti.ms/n8AW64,Sat Oct 01 11:00:08 CDT 2011
GortDalek,RT @nytimes : @Certain_Someone You need to post your question here: nyti.ms/n8AW64,Sat Oct 01 11:00:27 CDT 2011
mixdevil66,#Photos of the #dissappearing #forests in the United States by Josh Haner. nyti.ms/p2a2Lw @nytimes,Sat Oct 01 11:02:37 CDT 2011
iEARNUSA,RT @ywsanchez: NY Times discusses educational chats on Twitter (e.g. #Edchat  #Engchat  & #SSchat ) | (RT @tomwhitby) | nyti.ms/q7YH5a | #globaled #educ,Sat Oct 01 11:06:35 CDT 2011
VidiLuke,RT @MReynoldsTV: @VidiLuke - looks like they r being heard. Maybe I was wrong. =) #OccupyWallSt makes the NYT front page for 1st time: nyti.ms/pZp2uZ,Sat Oct 01 11:08:26 CDT 2011
Twittoscars,RT @nytimes : @Certain_Someone You need to post your question here: nyti.ms/n8AW64,Sat Oct 01 11:12:33 CDT 2011
jeatherhane,RT @NickKristof: If you're depressed about the world or think aid never works  here's a Happy Column  w/ a love story  too  nyti.ms/og922n,Sat Oct 01 11:17:27 CDT 2011
fboss,Rt @ywsanchez NY Times discusses educational chats on Twitter (e.g. #Edchat  #Engchat) | (RT @tomwhitby) | nyti.ms/q7YH5a | #edchatie,Sat Oct 01 11:19:54 CDT 2011
O2L,RT @AlecBaldwin: RT @jonoatis: NYTimes: Reporter Threatens to Name Names in Phone Hacking Scandal nyti.ms/otPGlz,Sat Oct 01 11:21:42 CDT 2011
stefkrieger,RT @nytimes What food questions do you have for @michaelpollan? Ask here  and vote on questions already submitted: nyti.ms/n8AW64,Sat Oct 01 11:26:05 CDT 2011
_ermin,Max Phone or annoucement day | nyti.ms/phAfWm,Sat Oct 01 11:27:56 CDT 2011
Al_Okullah,Who ij Hackney Numper Do? @majorlyprofound Haccaney network no 3 captured in Aphghanistan nyti.ms/nnAzQ8,Sat Oct 01 11:36:06 CDT 2011
TheRealRubin,For Alain JuppÃ©  a Career Recharged  Along With France's Global Role http://t.co/eCwgSiSd man behind the #foreignpolicy. #libya,Sat Oct 01 11:41:11 CDT 2011
GuitarCheron,RT @xxDianeMariexx RT @Jon_Pollak: Day 14. Wall St protests continue. NYTimes: nyti.ms/qF0uqE #1u,Sat Oct 01 11:44:05 CDT 2011
esukop,World's worst humanitarian crisis is the famine in Somalia-aggravated by mass rape nyti.ms/oG35lV via @alexandrajacoby @sloane @NickKristof,Sat Oct 01 11:45:58 CDT 2011
azmoderate,RT @GuitarCheron: RT @xxDianeMariexx RT @Jon_Pollak: Day 14. Wall St protests continue. NYTimes: nyti.ms/qF0uqE #1u,Sat Oct 01 11:46:20 CDT 2011
2doubleeagles,RT @esukop: World's worst humanitarian crisis is the famine in Somalia-aggravated by mass rape nyti.ms/oG35lV via @alexandrajacoby @sloane @NickKristof,Sat Oct 01 11:48:06 CDT 2011
whereisjeannie,Just awful... RT @nytimes Somali Gunmen Grab Wheelchair-Bound French Tourist in Kenya nyti.ms/pz2tfL,Sat Oct 01 11:51:15 CDT 2011
FFUNY,American Strike on American Target Revives Contentious Constitutional Issue: http://t.co/5C9XzBUY says I FLEW 50 COMBAT MISSIONS NO SYMPATHY,Sat Oct 01 11:52:47 CDT 2011
mommiyu,THE SHAME OF AMERICA CONTINUES As Santorum Fights to Be Heard - http://t.co/mcb8duJE THIS MAN IS A HEADLINE IS SHAME ENOUGH,Sat Oct 01 11:54:36 CDT 2011
wittreese1987,Great article in the NY Times about the DC relaunch!!  nyti.ms/pySVW0,Sat Oct 01 11:58:12 CDT 2011
AlligatorAaron,Bill Haast  100  Florida Snake Handler  Is Dead: We lost a scientist  hero  and pioneer. If your kids love... http://t.co/AxPdNymS,Sat Oct 01 12:05:37 CDT 2011
mommiyu,LET SLEEPING DOGS OF WAR LIE- Unesco Director Asks Dictator to Withdraw Science Prize: http://t.co/iPEY05fH IS OLD NEWS  C'MON.,Sat Oct 01 12:06:15 CDT 2011
markizeman,RT @Laurie_David As potential solutions to forest problems languish  signs of trouble build. Read this shttp://nyti.ms/pdWDpC,Sat Oct 01 12:11:52 CDT 2011
brranzz,#Arab World's 1st Anti-Racism movement in #Lebanon.Kudos 2 Arabs like  Fakhry who stand up 4 rights non-Arabs. nyti.ms/pTBcJh v @TarekFatah,Sat Oct 01 12:12:29 CDT 2011
escott523,solution = deportation #breakingthelawisrisky RT @kevinmd Stuck in Bed for 19 Months  at Hospital’s Expense: nyti.ms/pkRxAo,Sat Oct 01 12:18:21 CDT 2011
MaazaMengiste,RT @michelewells: And mine! MT @MaazaMengiste Be still my Caravaggio-loving heart: Caravaggio - A Life Sacred and Profane (Review) nyti.ms/rjfDts,Sat Oct 01 12:20:22 CDT 2011
tomwhitby,Here is a GR8 NY Times article in Q&A Format about #Edchat  #Engchat  & #SSchat Lays it all out very well. nyti.ms/q7YH5a,Sat Oct 01 12:40:45 CDT 2011
czerina,#NOTW #Murdoch #NewsCorp RT@AlecBaldwin RT @jonoatis: NYTimes: Reporter Threatens to Name Names in Phone Hacking Scandal nyti.ms/otPGlz,Sat Oct 01 12:42:18 CDT 2011
hilld,RT @tomwhitby: Here is a GR8 NY Times article in Q&A Format about #Edchat  #Engchat  & #SSchat Lays it all out very well. nyti.ms/q7YH5a,Sat Oct 01 12:49:38 CDT 2011
johnleesandiego,RT @brianstelter: #OccupyWallStreet makes the NYT front page for the 1st time: nyti.ms/pZp2uZ #globalrevolution,Sat Oct 01 12:50:03 CDT 2011
giulioprisco,RT @johnleesandiego: RT @brianstelter: #OccupyWallStreet makes the NYT front page for the 1st time: nyti.ms/pZp2uZ #globalrevolution,Sat Oct 01 12:53:02 CDT 2011
brodiesel,@waxfang We don't need radiohead any more than we need idiots spreading rumors. nyti.ms/n7rbBH #occupyportland #occupywallstreet,Sat Oct 01 12:53:49 CDT 2011
bexband,"RT @brianstelter #OccupyWallSt makes the NYT front page for the 1st time: nyti.ms/pZp2uZ ""We could be here for months. Our opponents are...",Sat Oct 01 13:25:30 CDT 2011
